age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
28,Private,134813,11,9,Never-married,9,Own-child,White,Male,0,0,40,38,<=50K
27,Self-emp-not-inc,115438,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,60,20,>50K
41,Private,239296,12,14,Married-civ-spouse,9,Husband,White,Male,0,2415,50,38,>50K
41,Private,428420,15,10,Married-civ-spouse,0,Husband,White,Male,0,0,40,38,<=50K
24,Private,247846,11,9,Never-married,2,Unmarried,Black,Female,0,0,40,38,<=50K
20,Unknown,334105,11,9,Never-married,14,Not-in-family,White,Female,0,0,40,38,<=50K
42,Self-emp-inc,100793,10,16,Married-civ-spouse,9,Husband,White,Male,0,0,41,38,>50K
57,Private,244478,11,9,Married-civ-spouse,2,Husband,Black,Male,0,0,48,38,<=50K
30,Private,142921,7,12,Never-married,9,Not-in-family,White,Female,0,0,40,38,<=50K
36,Private,182863,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,60,38,>50K
49,Private,171128,5,4,Married-civ-spouse,6,Husband,Black,Male,0,0,40,38,<=50K
33,Private,145402,11,9,Married-civ-spouse,6,Wife,White,Female,0,0,35,38,<=50K
23,Private,306309,0,6,Married-civ-spouse,4,Husband,White,Male,0,0,40,38,<=50K
46,Private,83822,12,14,Married-civ-spouse,9,Husband,White,Male,0,0,40,38,<=50K
18,Private,262118,15,10,Never-married,0,Own-child,Asian-Pac-Islander,Female,0,0,22,10,<=50K
40,Private,155972,11,9,Married-civ-spouse,3,Husband,White,Male,7688,0,55,38,>50K
43,Self-emp-inc,214503,11,9,Married-civ-spouse,3,Husband,White,Male,0,1887,45,38,>50K
34,Private,159303,12,14,Never-married,9,Own-child,White,Female,0,0,30,38,<=50K
47,Self-emp-not-inc,174995,11,9,Widowed,3,Not-in-family,White,Female,0,0,30,38,<=50K
44,Private,26669,8,11,Widowed,3,Unmarried,White,Female,0,0,30,38,<=50K
33,Private,177727,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,40,38,>50K
55,Private,124771,9,13,Married-civ-spouse,3,Husband,White,Male,15024,0,50,38,>50K
19,Private,456736,11,9,Never-married,11,Not-in-family,White,Male,2907,0,30,38,<=50K
28,Private,216604,15,10,Never-married,7,Not-in-family,Black,Male,0,0,14,38,<=50K
27,Private,221561,1,7,Married-civ-spouse,7,Wife,Black,Female,0,0,32,38,<=50K
50,Private,114564,5,4,Married-civ-spouse,6,Husband,White,Male,0,0,20,38,<=50K
22,Private,315476,1,7,Never-married,2,Unmarried,White,Male,0,0,40,38,<=50K
40,State-gov,67874,9,13,Married-civ-spouse,0,Husband,White,Male,0,1887,45,38,>50K
25,Private,126110,15,10,Never-married,0,Own-child,White,Female,0,0,40,38,<=50K
26,Local-gov,102264,11,9,Never-married,2,Not-in-family,White,Male,0,0,40,38,<=50K
22,Private,537222,9,13,Never-married,11,Not-in-family,White,Male,0,0,25,38,<=50K
42,Private,113732,15,10,Never-married,5,Unmarried,Black,Female,0,625,40,38,<=50K
38,Self-emp-inc,93225,9,13,Divorced,3,Not-in-family,White,Male,0,0,40,38,<=50K
55,Private,43064,1,7,Married-civ-spouse,7,Husband,White,Male,0,0,30,38,<=50K
32,Private,136921,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,40,38,<=50K
22,Private,388885,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,45,38,<=50K
29,Private,142249,9,13,Never-married,11,Own-child,White,Male,0,0,40,38,<=50K
46,State-gov,56841,12,14,Married-civ-spouse,3,Husband,White,Male,0,0,45,38,>50K
31,Private,156493,15,10,Married-civ-spouse,3,Husband,White,Male,0,0,40,38,>50K
58,Self-emp-not-inc,159021,10,16,Married-civ-spouse,9,Husband,White,Male,0,0,16,38,>50K
42,Private,190910,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,45,38,<=50K
18,Private,41879,11,9,Never-married,5,Unmarried,White,Male,0,0,25,38,<=50K
58,Local-gov,137249,11,9,Divorced,3,Not-in-family,White,Male,0,0,33,38,<=50K
54,Private,236157,11,9,Married-civ-spouse,9,Husband,White,Male,0,1887,40,38,>50K
34,Private,189759,12,14,Never-married,9,Not-in-family,White,Male,0,0,40,38,<=50K
26,Private,239877,9,13,Never-married,0,Not-in-family,White,Female,0,0,40,38,<=50K
61,Private,21175,2,8,Married-civ-spouse,3,Husband,White,Male,0,0,60,38,<=50K
48,Local-gov,67229,12,14,Separated,0,Unmarried,Black,Female,0,0,40,38,<=50K
36,Private,236391,15,10,Married-civ-spouse,3,Husband,White,Male,0,0,45,38,>50K
24,Private,325596,8,11,Married-civ-spouse,6,Husband,White,Male,0,0,45,38,<=50K
40,Private,83411,15,10,Married-civ-spouse,6,Husband,White,Male,0,0,37,38,<=50K
33,Self-emp-inc,154227,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,50,38,>50K
37,Private,248010,15,10,Married-civ-spouse,6,Husband,White,Male,0,1887,40,38,>50K
34,Private,198613,12,14,Never-married,3,Own-child,White,Male,4650,0,40,38,<=50K
56,Self-emp-inc,321529,15,10,Married-civ-spouse,3,Husband,White,Male,15024,0,40,38,>50K
28,Unknown,168524,11,9,Married-civ-spouse,14,Own-child,White,Female,0,0,38,38,>50K
37,Private,203079,9,13,Widowed,3,Not-in-family,White,Female,0,0,55,38,<=50K
44,Private,284652,11,9,Divorced,11,Unmarried,Black,Female,0,0,40,38,<=50K
64,Unknown,201368,15,10,Married-civ-spouse,14,Husband,White,Male,0,0,8,38,<=50K
54,Private,59840,11,9,Divorced,5,Not-in-family,White,Male,0,0,45,38,<=50K
23,Private,52753,11,9,Never-married,6,Not-in-family,White,Male,0,0,50,38,<=50K
34,State-gov,513100,9,13,Married-spouse-absent,4,Not-in-family,Black,Male,0,0,40,39,<=50K
22,Private,199266,11,9,Never-married,7,Not-in-family,White,Female,0,0,45,38,<=50K
33,Private,196385,9,13,Married-civ-spouse,3,Husband,White,Male,0,1977,40,38,>50K
39,Private,163205,9,13,Separated,9,Not-in-family,White,Male,0,0,50,38,>50K
47,Private,411047,15,10,Divorced,0,Not-in-family,Black,Female,0,0,37,38,<=50K
79,Unknown,48574,5,4,Widowed,14,Not-in-family,White,Male,0,0,40,38,<=50K
26,Private,209440,11,9,Never-married,9,Unmarried,Black,Female,0,0,55,38,<=50K
31,Private,56964,15,10,Divorced,3,Unmarried,White,Female,0,0,40,38,<=50K
44,Private,299197,15,10,Never-married,13,Not-in-family,White,Male,0,0,45,38,<=50K
42,Self-emp-inc,240628,14,15,Married-civ-spouse,9,Wife,White,Female,0,0,50,38,>50K
19,Private,355313,11,9,Never-married,6,Not-in-family,White,Female,0,0,40,38,<=50K
27,Private,132267,11,9,Married-civ-spouse,5,Husband,White,Male,0,0,40,38,>50K
51,Local-gov,174861,15,10,Married-civ-spouse,10,Husband,White,Male,0,0,40,38,>50K
28,Self-emp-inc,142443,9,13,Married-civ-spouse,3,Husband,White,Male,0,0,50,38,<=50K
57,Private,26716,9,13,Divorced,2,Not-in-family,White,Male,0,0,45,38,<=50K
45,Local-gov,185588,9,13,Divorced,9,Unmarried,White,Female,0,0,40,38,<=50K
50,Private,175029,8,11,Married-civ-spouse,9,Husband,White,Male,0,0,40,38,>50K
34,Self-emp-inc,34848,9,13,Married-civ-spouse,11,Husband,White,Male,0,0,54,38,<=50K
45,Private,411273,5,4,Married-civ-spouse,2,Husband,Black,Male,0,0,40,38,<=50K
73,Local-gov,143437,11,9,Married-civ-spouse,3,Husband,White,Male,0,0,20,38,<=50K
34,Private,357145,9,13,Married-civ-spouse,9,Wife,White,Female,0,0,50,38,>50K
31,Private,236861,15,10,Married-civ-spouse,11,Husband,White,Male,0,0,55,38,>50K
19,Private,53355,1,7,Never-married,11,Not-in-family,White,Male,0,0,12,38,<=50K
25,Private,29106,15,10,Never-married,7,Own-child,White,Female,0,0,50,38,<=50K
38,Federal-gov,213274,8,11,Divorced,2,Unmarried,White,Female,6497,0,40,38,<=50K
39,Private,22463,9,13,Married-civ-spouse,13,Husband,White,Male,0,0,40,38,<=50K
23,Private,180497,9,13,Never-married,12,Own-child,Black,Female,0,0,32,38,<=50K
49,Private,37306,11,9,Married-civ-spouse,6,Husband,White,Male,0,0,40,38,<=50K
33,Federal-gov,137814,11,9,Never-married,7,Not-in-family,White,Male,0,0,32,38,<=50K
21,Private,447488,4,3,Never-married,6,Other-relative,White,Male,0,0,38,25,<=50K
31,Private,220915,8,11,Separated,2,Not-in-family,White,Male,0,0,40,38,<=50K
23,Private,42251,9,13,Never-married,3,Not-in-family,White,Female,0,0,45,38,<=50K
34,Private,162312,9,13,Married-civ-spouse,0,Husband,Asian-Pac-Islander,Male,0,0,40,29,<=50K
25,Private,77698,11,9,Never-married,6,Not-in-family,Asian-Pac-Islander,Female,0,0,40,29,<=50K
39,Private,282951,11,9,Never-married,2,Unmarried,White,Male,0,0,40,38,<=50K
52,Self-emp-inc,311259,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,40,38,>50K
63,Local-gov,65479,6,5,Married-civ-spouse,13,Husband,White,Male,7688,0,40,38,>50K
41,Private,277256,15,10,Married-civ-spouse,2,Husband,White,Male,0,0,40,38,<=50K
46,Private,312088,9,13,Married-civ-spouse,9,Husband,White,Male,15024,0,38,38,>50K
53,Local-gov,169719,11,9,Married-civ-spouse,3,Husband,White,Male,0,0,40,38,<=50K
25,Unknown,270276,6,5,Separated,14,Not-in-family,White,Female,1055,0,40,38,<=50K
77,Unknown,172744,15,10,Married-civ-spouse,14,Husband,White,Male,0,0,35,38,<=50K
18,Private,96869,2,8,Never-married,8,Own-child,White,Male,0,0,40,38,<=50K
38,Private,237943,14,15,Married-civ-spouse,9,Husband,White,Male,0,0,50,38,<=50K
55,Private,119751,12,14,Never-married,3,Unmarried,Asian-Pac-Islander,Female,0,0,50,36,<=50K
34,Private,236861,11,9,Married-civ-spouse,12,Husband,White,Male,0,0,40,38,>50K
80,Self-emp-not-inc,201092,11,9,Married-civ-spouse,7,Husband,White,Male,0,0,30,38,<=50K
34,Private,147215,8,11,Divorced,12,Unmarried,White,Female,0,0,60,38,<=50K
52,Private,152373,15,10,Married-civ-spouse,12,Husband,White,Male,5013,0,40,38,<=50K
42,Private,227968,11,9,Never-married,7,Unmarried,Black,Female,0,0,28,13,<=50K
26,Private,362617,15,10,Never-married,11,Not-in-family,White,Female,0,0,40,38,<=50K
31,Private,103435,11,9,Married-civ-spouse,13,Husband,White,Male,0,0,40,38,<=50K
25,Local-gov,281412,11,9,Never-married,7,Own-child,White,Female,0,0,35,38,<=50K
55,Self-emp-not-inc,105239,11,9,Married-civ-spouse,2,Husband,White,Male,0,2057,60,38,<=50K
19,Private,230165,15,10,Never-married,7,Own-child,White,Female,0,0,12,38,<=50K
62,Self-emp-not-inc,177493,15,10,Married-civ-spouse,13,Husband,White,Male,0,0,32,38,<=50K
22,Federal-gov,104443,15,10,Never-married,0,Own-child,White,Female,0,0,20,38,<=50K
39,Unknown,110342,11,9,Married-civ-spouse,14,Wife,White,Female,0,0,50,38,<=50K
35,Private,143385,11,9,Married-civ-spouse,5,Husband,White,Male,0,0,40,38,<=50K
28,Private,107189,11,9,Married-civ-spouse,11,Own-child,White,Female,0,0,40,38,<=50K
47,Private,212944,11,9,Married-civ-spouse,13,Husband,White,Male,0,0,70,38,>50K
44,State-gov,138634,11,9,Married-civ-spouse,6,Husband,White,Male,0,0,40,38,<=50K
21,Private,99970,15,10,Never-married,11,Own-child,White,Male,0,0,15,38,<=50K
35,Private,203717,8,11,Never-married,2,Not-in-family,White,Male,0,0,50,38,<=50K
24,Private,313956,9,13,Married-civ-spouse,9,Husband,White,Male,0,0,40,38,>50K
42,Federal-gov,177937,9,13,Never-married,9,Not-in-family,White,Male,0,0,40,39,<=50K
28,Private,193868,9,13,Never-married,12,Own-child,White,Male,0,0,50,38,<=50K
21,Private,250939,15,10,Never-married,6,Other-relative,White,Male,0,0,35,38,<=50K
62,Federal-gov,57629,15,10,Divorced,12,Not-in-family,Black,Male,4650,0,40,38,<=50K
39,Private,281768,11,9,Never-married,7,Not-in-family,Black,Female,0,0,40,38,<=50K
30,State-gov,260782,11,9,Never-married,7,Not-in-family,White,Male,0,0,40,38,<=50K
72,Self-emp-not-inc,243769,14,15,Never-married,9,Not-in-family,White,Male,0,1429,20,38,<=50K
50,Private,109937,15,10,Married-civ-spouse,3,Wife,White,Female,0,0,50,38,<=50K
28,Local-gov,134890,12,14,Never-married,9,Not-in-family,White,Male,0,0,40,38,<=50K
29,Private,100293,15,10,Never-married,9,Not-in-family,White,Female,0,0,40,38,<=50K
26,Private,132179,9,13,Never-married,0,Own-child,White,Female,0,0,40,38,<=50K
27,Private,116372,12,14,Never-married,3,Not-in-family,White,Female,0,0,40,38,<=50K
29,Private,255412,15,10,Married-civ-spouse,5,Husband,White,Male,3103,0,40,38,>50K
61,Unknown,195789,11,9,Married-civ-spouse,14,Husband,White,Male,0,0,40,38,<=50K
29,Private,342400,0,6,Married-civ-spouse,2,Husband,White,Male,0,0,25,38,<=50K
21,Unknown,65481,15,10,Never-married,14,Own-child,White,Female,0,0,30,38,<=50K
31,Private,169085,1,7,Married-civ-spouse,11,Wife,White,Female,0,0,20,38,<=50K
25,Private,177221,11,9,Married-civ-spouse,3,Husband,White,Male,0,0,75,38,<=50K
58,Private,65325,0,6,Married-civ-spouse,13,Husband,White,Male,0,0,40,38,>50K
64,Private,118944,15,10,Married-civ-spouse,3,Wife,White,Female,0,0,40,38,>50K
46,State-gov,149337,12,14,Never-married,3,Not-in-family,White,Male,0,0,38,38,<=50K
53,Unknown,237868,11,9,Married-civ-spouse,14,Husband,White,Male,0,0,35,38,>50K
19,Private,106183,11,9,Never-married,7,Own-child,Amer-Indian-Eskimo,Female,0,0,35,38,<=50K
42,Private,226388,11,9,Divorced,7,Not-in-family,Black,Male,0,0,52,38,<=50K
18,Private,220754,1,7,Never-married,5,Own-child,White,Male,0,0,24,38,<=50K
58,Self-emp-inc,204021,9,13,Married-civ-spouse,2,Husband,White,Male,15024,0,50,38,>50K
20,Private,347391,15,10,Never-married,10,Not-in-family,Black,Male,0,0,60,38,<=50K
35,Federal-gov,413930,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,40,38,>50K
32,Private,174201,11,9,Married-civ-spouse,5,Husband,White,Male,0,0,38,38,>50K
23,Private,145917,11,9,Never-married,5,Not-in-family,White,Female,0,0,25,38,<=50K
31,Private,241797,15,10,Divorced,12,Unmarried,White,Female,0,0,40,38,<=50K
33,Private,265168,9,13,Married-civ-spouse,11,Husband,Black,Male,0,0,55,38,<=50K
41,Private,171234,15,10,Never-married,6,Not-in-family,White,Female,0,0,48,38,<=50K
22,Private,178452,11,9,Never-married,6,Own-child,Black,Male,0,0,40,38,<=50K
46,Private,157857,15,10,Married-civ-spouse,10,Husband,White,Male,0,0,40,38,>50K
61,Federal-gov,512864,15,10,Married-civ-spouse,13,Husband,Black,Male,0,0,40,38,<=50K
30,Private,296462,11,9,Never-married,3,Not-in-family,Black,Male,0,0,40,38,<=50K
42,Private,171615,11,9,Married-civ-spouse,3,Husband,White,Male,0,0,55,38,>50K
63,Private,214071,0,6,Married-civ-spouse,5,Husband,White,Male,0,0,40,38,<=50K
26,Private,172421,15,10,Married-civ-spouse,11,Husband,White,Male,0,0,40,38,<=50K
42,Private,195488,0,6,Divorced,0,Unmarried,White,Female,0,0,40,38,<=50K
23,Private,316841,15,10,Married-civ-spouse,7,Husband,White,Male,0,0,40,38,<=50K
25,Private,236267,11,9,Never-married,6,Unmarried,White,Male,0,1590,40,38,<=50K
30,Private,236543,6,5,Married-civ-spouse,7,Husband,White,Male,0,0,32,7,>50K
23,Private,318483,11,9,Never-married,11,Own-child,White,Male,0,0,40,38,<=50K
34,Self-emp-not-inc,163756,8,11,Never-married,4,Not-in-family,White,Male,27828,0,60,38,>50K
30,Private,238186,11,9,Married-civ-spouse,6,Other-relative,White,Male,0,2057,48,38,<=50K
